Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family_size
0,3,male,22,7.25,S,Mr,Small
1,1,female,38,71.2833,C,Mrs,Small
1,3,female,26,7.925,S,Miss,Alone
1,1,female,35,53.1,S,Mrs,Small
0,3,male,35,8.05,S,Mr,Alone
0,3,male,28,8.4583,Q,Mr,Alone
0,1,male,54,51.8625,S,Mr,Alone
0,3,male,2,21.075,S,Master,Large
1,3,female,27,11.1333,S,Mrs,Small
1,2,female,14,30.0708,C,Mrs,Small
1,3,female,4,16.7,S,Miss,Small
1,1,female,58,26.55,S,Miss,Alone
0,3,male,20,8.05,S,Mr,Alone
0,3,male,39,31.275,S,Mr,Large
0,3,female,14,7.8542,S,Miss,Alone
1,2,female,55,16.0,S,Mrs,Alone
0,3,male,2,29.125,Q,Master,Large
1,2,male,28,13.0,S,Mr,Alone
0,3,female,31,18.0,S,Mrs,Small
1,3,female,28,7.225,C,Mrs,Alone
0,2,male,35,26.0,S,Mr,Alone
1,2,male,34,13.0,S,Mr,Alone
1,3,female,15,8.0292,Q,Miss,Alone
1,1,male,28,35.5,S,Mr,Alone
0,3,female,8,21.075,S,Miss,Large
1,3,female,38,31.3875,S,Mrs,Large
0,3,male,28,7.225,C,Mr,Alone
0,1,male,19,263.0,S,Mr,Large
1,3,female,28,7.8792,Q,Miss,Alone
0,3,male,28,7.8958,S,Mr,Alone
0,1,male,40,27.7208,C,Other,Alone
1,1,female,28,146.5208,C,Mrs,Small
1,3,female,28,7.75,Q,Miss,Alone
0,2,male,66,10.5,S,Mr,Alone
0,1,male,28,82.1708,C,Mr,Small
0,1,male,42,52.0,S,Mr,Small
1,3,male,28,7.2292,C,Mr,Alone
0,3,male,21,8.05,S,Mr,Alone
0,3,female,18,18.0,S,Miss,Small
1,3,female,14,11.2417,C,Miss,Small
0,3,female,40,9.475,S,Mrs,Small
0,2,female,27,21.0,S,Mrs,Small
0,3,male,28,7.8958,C,Mr,Alone
1,2,female,3,41.5792,C,Miss,Small
1,3,female,19,7.8792,Q,Miss,Alone
0,3,male,28,8.05,S,Mr,Alone
0,3,male,28,15.5,Q,Mr,Small
1,3,female,28,7.75,Q,Miss,Alone
0,3,male,28,21.6792,C,Mr,Small
0,3,female,18,17.8,S,Mrs,Small
0,3,male,7,39.6875,S,Master,Large
0,3,male,21,7.8,S,Mr,Alone
1,1,female,49,76.7292,C,Mrs,Small
1,2,female,29,26.0,S,Mrs,Small
0,1,male,65,61.9792,C,Mr,Small
1,1,male,28,35.5,S,Mr,Alone
1,2,female,21,10.5,S,Miss,Alone
0,3,male,28,7.2292,C,Mr,Alone
1,2,female,5,27.75,S,Miss,Small
0,3,male,11,46.9,S,Master,Large
0,3,male,22,7.2292,C,Mr,Alone
1,1,female,38,80.0,S,Miss,Alone
0,1,male,45,83.475,S,Mr,Small
0,3,male,4,27.9,S,Master,Large
0,1,male,28,27.7208,C,Mr,Alone
1,3,male,28,15.2458,C,Master,Small
1,2,female,29,10.5,S,Mrs,Alone
0,3,male,19,8.1583,S,Mr,Alone
1,3,female,17,7.925,S,Miss,Large
